,percents,count_won,starting_player
116,"[0.55711480830836, 0.5483393487876141, 0.5591622945187532, 0.6530459464535602, 0.41963622354915936, 0.44386677391719476, 0.47492295912878957, 0.48810080593231253]",4,Democrat
117,"[0.4399900920298001, 0.458079132429806, 0.4391734160255172, 0.47690999101630444, 0.47872050605659916, 0.6821957058878315, 0.6752208429205176, 0.5125343527293055]",3,Republican
118,"[0.467598048027056, 0.4644085905254924, 0.47143510951291273, 0.4121354556137165, 0.4520903191176328, 0.4725191976224153, 0.7214250242741834, 0.7033403660587108]",2,Republican
119,"[0.4379351127156931, 0.45280444009141363, 0.4592913886240864, 0.4330228335848555, 0.4499638847972344, 0.7066657071406726, 0.6920203097619644, 0.5355405678917232]",3,Republican
120,"[0.6307794092265995, 0.5509873015190907, 0.5128880208582652, 0.68103818164769, 0.40254388688108805, 0.4437897241616832, 0.4468360621813644, 0.49647239314297753]",4,Democrat
121,"[0.4592407705462227, 0.45173057101297565, 0.4815096300001924, 0.48200993126631314, 0.39505172468096195, 0.7321008291234715, 0.6944059672691675, 0.4946696091046677]",2,Republican
122,"[0.4543245885454141, 0.4493929038252571, 0.4453189884171353, 0.48749567522048215, 0.6913765687844224, 0.6207752074317406, 0.4975048796356539, 0.49239084056322]",2,Republican
123,"[0.45478428192039183, 0.44444933560562705, 0.43313013064904554, 0.41341802670623146, 0.7063010434796865, 0.6285489043007659, 0.5595425133697997, 0.508873409955149]",4,Republican
124,"[0.514097216452015, 0.5554806258795335, 0.613783652781684, 0.7234041791002003, 0.4179532486439524, 0.44803497371518747, 0.44908940397350994, 0.464197628432467]",4,Democrat
125,"[0.4399383037409016, 0.4622801484641692, 0.44800798986715523, 0.47020135718531003, 0.7035289743396308, 0.4739496975128837, 0.6533297713726666, 0.5008549269922113]",3,Republican
126,"[0.4570412090308947, 0.4556223126164399, 0.440452376396644, 0.4472131936920669, 0.6761549327889003, 0.6615170489254178, 0.5091363444044849, 0.5032489417347461]",4,Republican
127,"[0.7066049127104813, 0.5447321273767555, 0.6796717587000805, 0.3910725388902125, 0.42655808383233534, 0.4644133658958508, 0.4762150026413101, 0.48108509580148673]",3,Democrat
128,"[0.5476407763059126, 0.5132182847103308, 0.5272847435223942, 0.6196862671585961, 0.7058373441091979, 0.40314196128675833, 0.42543259582541504, 0.43638733790949397]",5,Democrat
129,"[0.45067852443744416, 0.4511301819843723, 0.4467547679733537, 0.41897373633382945, 0.7018886350302991, 0.7105827940627054, 0.49671390960663947, 0.49360655573810375]",2,Republican
130,"[0.4507602160496774, 0.45459121513305545, 0.48411811598795224, 0.36230242833793064, 0.6989665913631602, 0.6806524074616662, 0.5222467567350726, 0.5091555641372209]",4,Republican
131,"[0.5273346402642638, 0.6433990895295902, 0.5572516122775542, 0.6478828704976629, 0.41586191603051115, 0.4454657840165896, 0.45240599649798524, 0.47904711277347956]",4,Democrat
132,"[0.43585217024216144, 0.46298655162039853, 0.44215670212229674, 0.46172227656841136, 0.476782408159288, 0.6613397486474302, 0.6926129795783563, 0.5262645242177242]",3,Republican
133,"[0.5351625835775293, 0.5250619325615838, 0.6011940260427796, 0.6864103240100875, 0.4224997233770134, 0.4455306691654377, 0.44696585295590774, 0.4730106275847909]",4,Democrat
134,"[0.43959415435741106, 0.4724530664128623, 0.4556683075938794, 0.46111568048768686, 0.476768827617637, 0.7094613857911992, 0.6303058415844961, 0.500931243209685]",3,Republican
135,"[0.4541778525730924, 0.45077563945488475, 0.4379167500303389, 0.3429350624692544, 0.7131180742024351, 0.668175037761398, 0.5538372597196126, 0.5280172056143938]",4,Republican
136,"[0.522577955308089, 0.5197082809266848, 0.5874179147684854, 0.5451106523326368, 0.5826134822711223, 0.4519393939393939, 0.46004286250856147, 0.48342940444824867]",5,Democrat
137,"[0.4604608939443514, 0.4545553197261542, 0.47294907845135625, 0.4077998995867171, 0.6718138400114154, 0.6953547146976115, 0.5214457814993917, 0.49642421472467274]",3,Republican
138,"[0.7096769811361765, 0.5178817912003933, 0.6221544397146965, 0.5151233389774659, 0.4308317167798254, 0.4330330783462139, 0.4531761087547032, 0.4629538865663992]",4,Democrat
139,"[0.5441840508346444, 0.6291999009165221, 0.5871551189214386, 0.5893531964934156, 0.4016610520783818, 0.4458070599143588, 0.47946332898694793, 0.49645041865155715]",4,Democrat
140,"[0.4500199497735114, 0.456058705992155, 0.46102193895926963, 0.4442361342171943, 0.4272554199359014, 0.7167701412337073, 0.7072844592597013, 0.5061153154715647]",3,Republican
141,"[0.5769496279900506, 0.6577361471617199, 0.7079237583197033, 0.3397822067212319, 0.444034380614772, 0.5155343539286732, 0.4606430662275887, 0.4629122149946245]",4,Democrat
142,"[0.5181595473398193, 0.6951553351187635, 0.5228756031246468, 0.5876575725285993, 0.42924108007593076, 0.43590981570538273, 0.46472247721075055, 0.48279975569100003]",4,Democrat
143,"[0.6892991150442478, 0.6974239648024734, 0.3995412072366912, 0.5119349060740056, 0.4519990025766769, 0.45270452517791565, 0.46112616739191287, 0.49883040162818665]",3,Democrat
144,"[0.4504328206291734, 0.45408884895450974, 0.45678507655981215, 0.4485494199033398, 0.4484771046621201, 0.7153013576614753, 0.6823042961270553, 0.498724112486144]",2,Republican
145,"[0.454040432397441, 0.4541443347505189, 0.46219154751691166, 0.46566457090094, 0.4664806646702308, 0.6743096734696783, 0.6653359093603246, 0.5280071514067969]",3,Republican
146,"[0.5441059758379793, 0.6476375058477578, 0.6429669800381754, 0.4406535833357634, 0.5291747920016139, 0.4318336342850999, 0.45093684406472856, 0.46988427226638213]",4,Democrat
147,"[0.6817254161518277, 0.700661445440896, 0.42873666503947244, 0.4466851389223531, 0.46025967259777434, 0.46514967168484284, 0.4775425327217455, 0.4914275845118606]",2,Democrat
148,"[0.4517848454018667, 0.45171729346950273, 0.4725138585587099, 0.41052109926415375, 0.6643249018728582, 0.6357931438915873, 0.570836367095601, 0.5041812281577633]",4,Republican
149,"[0.4575131029144555, 0.4606243434177935, 0.46143473223480946, 0.3952338637522635, 0.6347143401506182, 0.6159019405986319, 0.6172630484270867, 0.5181089037688196]",4,Republican
150,"[0.45100653805795465, 0.4529123743113002, 0.3924438644869017, 0.47517520755356346, 0.6949081356403753, 0.6105995101555483, 0.5713536465330814, 0.4992622454087951]",3,Republican
151,"[0.4530965772135626, 0.4601413402326238, 0.46468774576098293, 0.640905980338157, 0.43516323946788915, 0.4760932189674705, 0.7073930023798141, 0.5027264644868122]",3,Republican
152,"[0.44455029225562037, 0.44461894254153167, 0.47641760603606015, 0.3926873176846275, 0.711818942930608, 0.601290624866891, 0.5721960670529104, 0.507725972058576]",4,Republican
153,"[0.6668873003265379, 0.6845826457531157, 0.4240690678670616, 0.4415725373887802, 0.5266525343309604, 0.4724700033462403, 0.47554813941819624, 0.47911420900798746]",3,Democrat
154,"[0.6624909619337918, 0.5339245810055866, 0.5136384149665048, 0.6293429842237349, 0.4067955272240827, 0.4451467811493551, 0.47824937741629353, 0.4930028105458683]",4,Democrat
