,percents,count_won
84,"[0.5478093205860407, 0.4410461465181722, 0.6362922256448875, 0.4659933268408917, 0.386029324819676, 0.7101751113041007, 0.46473625768764537, 0.4938817344728968]",3
85,"[0.5478093205860407, 0.4674853598093224, 0.6362922256448875, 0.47963609678750907, 0.4942073048230047, 0.7078879579164294, 0.42410908563415695, 0.39337991165516645]",3
86,"[0.5494776476505496, 0.38442743936888624, 0.6368801439757755, 0.47963609678750907, 0.449751059710585, 0.5781681692598517, 0.43074617168478035, 0.6554781692613836]",4
87,"[0.5467841502664486, 0.6395411721173825, 0.384328963712378, 0.45051300717401177, 0.449751059710585, 0.55394995123517, 0.4883064556343436, 0.6554781692613836]",4
88,"[0.5485036584942955, 0.3955287792461134, 0.6167971507411923, 0.4605622902671259, 0.4515960940855461, 0.5243735105076912, 0.4883064556343436, 0.6751879656695596]",4
89,"[0.5093007677642087, 0.6101842270889559, 0.4645822733774275, 0.6163005798814678, 0.44516572790637965, 0.5248262776211479, 0.4901291857561398, 0.4895533487623651]",4
90,"[0.4745854699870732, 0.5098663926002055, 0.45981737053114363, 0.6488095238095238, 0.4498571851318143, 0.5335676876489277, 0.49114215898790053, 0.5680739502615146]",4
91,"[0.505791759493354, 0.49952981666048285, 0.4615813373473488, 0.6299205116789193, 0.4476636353718096, 0.49107294677775887, 0.4932238084894918, 0.6214746801671069]",3
92,"[0.47095072431635815, 0.542415971147877, 0.4626218782210101, 0.4457195245321194, 0.7104561274164345, 0.4197018729773968, 0.4932238084894918, 0.5928632860040568]",3
93,"[0.5754654192100709, 0.5312745308556363, 0.4626218782210101, 0.5070682976289518, 0.43737971302859646, 0.7014152054889459, 0.5061106615255232, 0.4253153036016123]",5
94,"[0.41916323829518115, 0.5312745308556363, 0.4626218782210101, 0.48408302120202057, 0.43737971302859646, 0.710512122183061, 0.5139631287875644, 0.5741405785229506]",4
95,"[0.4473667298608657, 0.7114075804123131, 0.46235604175750894, 0.4771733573696389, 0.44063214744204576, 0.5273199522758708, 0.4939869940909226, 0.5741405785229506]",3
96,"[0.45035715409547183, 0.3788094567739925, 0.4390568174850833, 0.49200157379166093, 0.7035417029806519, 0.5774620669911251, 0.5030728445904263, 0.6242756475932887]",4
97,"[0.4577901894587848, 0.5329897419750427, 0.4581080409090156, 0.5013318949970383, 0.7035417029806519, 0.40498547552378344, 0.44966974477363086, 0.6430312534481779]",4
98,"[0.5014549109859006, 0.7603716285773111, 0.46602729644305135, 0.45227531395281545, 0.6977723244131443, 0.47520381311111687, 0.4550406291957519, 0.37504798681209495]",3
99,"[0.4516411220832323, 0.7405588644142231, 0.47361318805367864, 0.4787303760942926, 0.46292977178586614, 0.39972897017242415, 0.4600631797927395, 0.7075767746724081]",2
100,"[0.6022357298831255, 0.592296271342928, 0.46121744739176007, 0.6141235813366961, 0.49688370117510106, 0.46573624727225355, 0.44192258115955513, 0.47361800084297895]",3
101,"[0.5943777625481775, 0.5316691637839255, 0.46121744739176007, 0.550399084195704, 0.42275935991308183, 0.6743768381797661, 0.4427561023751563, 0.47361800084297895]",4
102,"[0.6082788601384072, 0.5881247867009859, 0.47604755356133077, 0.4904699011823115, 0.6015015228093923, 0.4808129732773265, 0.4799593801910299, 0.4276981141682419]",3
103,"[0.6082788601384072, 0.49550663276090673, 0.4400759246224618, 0.4864585627988222, 0.7083930321996833, 0.4848024066550844, 0.45652734611763796, 0.44879479906819886]",2
104,"[0.46286344834624427, 0.45059646534177367, 0.4324130198092205, 0.7131438531207562, 0.44105225617538857, 0.5246310435913948, 0.6133789446117586, 0.493818626368527]",3
105,"[0.51990224950617, 0.41440703218116803, 0.4265316420122123, 0.7144366545672427, 0.5219632227169404, 0.5481695721834855, 0.5019227194003856, 0.4817328775957694]",5
106,"[0.3958620904544534, 0.4333845841063305, 0.515280001058355, 0.7142956169350538, 0.45406320798567207, 0.4794113052308173, 0.5941776758167866, 0.5500453264122592]",4
107,"[0.44551961229937964, 0.4659819048595448, 0.5110720539033766, 0.7094418772504403, 0.5767980318681835, 0.4123629210419073, 0.4476149385839331, 0.5711032820791773]",4
108,"[0.4638555362554044, 0.7151372749052411, 0.43043556192866106, 0.4484751120669552, 0.5767980318681835, 0.5257449845701864, 0.4587569043319799, 0.5125101788857075]",4
109,"[0.4648133642394693, 0.5292565036871415, 0.5105785427194343, 0.448176149500328, 0.5806573543733953, 0.45278303473106013, 0.7136392287427472, 0.43354450691930474]",4
110,"[0.5080640627531904, 0.48741373548940126, 0.4340115944885123, 0.636384940685218, 0.44665977732902273, 0.45278303473106013, 0.7128338744805655, 0.46430355103559945]",3
111,"[0.43385824215071916, 0.39998979285159375, 0.7139991694464877, 0.7037677569960429, 0.48447806962097123, 0.5088922772741744, 0.45652911358871057, 0.46430355103559945]",3
112,"[0.4493796921037842, 0.713363134254583, 0.4045226914837776, 0.46408645679899696, 0.7278053112556221, 0.5113396018399166, 0.43006910709965934, 0.4647400950922305]",3
113,"[0.5118728204046383, 0.4995262757911864, 0.6961953149445526, 0.4424442609413708, 0.6849603994490359, 0.45360688754335277, 0.4028425038394323, 0.4647400950922305]",3
114,"[0.5120911047584777, 0.4963496491673007, 0.44583748858768174, 0.4542861095921097, 0.6849603994490359, 0.45375974820327236, 0.41223207868542566, 0.6905360630310775]",3
115,"[0.4144436366955609, 0.6883748675806601, 0.49631719217147696, 0.5057533363982, 0.6001947123429371, 0.45923738071059483, 0.4546263521129546, 0.49867937003068474]",3
116,"[0.6937299479667008, 0.3894991598711289, 0.5944460220033055, 0.4543635101764127, 0.6330511970274963, 0.5120329414976421, 0.4546263521129546, 0.41633617827488106]",4
117,"[0.47649191793846996, 0.4736973947895792, 0.45014720504112704, 0.39303131254275075, 0.6330511970274963, 0.6935547993130208, 0.4930524036154734, 0.5180472689041439]",3
118,"[0.47403989574789485, 0.4915269110435349, 0.4965065935155501, 0.6918867695426542, 0.6330511970274963, 0.3876813496708911, 0.44961887687982044, 0.5103032640022338]",3
119,"[0.4936101041954518, 0.5026730115730613, 0.7033797948438926, 0.4655206386738365, 0.6299601878528257, 0.38860524410588937, 0.44961887687982044, 0.5086873845858132]",4
120,"[0.4936101041954518, 0.47192666980731, 0.6975322250347284, 0.4510513022634771, 0.3888232320040447, 0.7004678521866844, 0.46998950144675183, 0.4876594485342337]",2
121,"[0.5035351891843919, 0.4598829127383063, 0.39885235392529356, 0.45392499169834194, 0.45638822240767785, 0.7000013273337846, 0.489843234708222, 0.6992762656185839]",3
122,"[0.40246773075117154, 0.7041028408392684, 0.498471615720524, 0.4571246280906946, 0.45592137813160616, 0.45901700552298946, 0.6975907618480687, 0.4876796300528304]",2
123,"[0.4599810086848988, 0.4333708653579413, 0.704827334793319, 0.5074314341346954, 0.41238396531405774, 0.549014012951628, 0.6787646349063233, 0.4030013757814197]",4
124,"[0.46249137046667227, 0.44209638436957616, 0.7030898437189432, 0.5045518928874015, 0.6336408809547155, 0.5931815409344345, 0.4011584675038695, 0.4030013757814197]",4
125,"[0.4494670642770675, 0.41827490157633473, 0.4390044206154527, 0.7006197312411317, 0.5574067615223411, 0.5931815409344345, 0.5015602307964045, 0.4713754743210445]",4
126,"[0.4293720997194303, 0.4624364188851246, 0.5559955651748276, 0.4954948271443409, 0.41309480243151253, 0.570566217503743, 0.5018054039389457, 0.6981255396878113]",4
127,"[0.4415281973816717, 0.46332672553613263, 0.40606871223337, 0.41752347695058256, 0.4996937432395449, 0.6198753063151436, 0.5995105985990885, 0.700477458131935]",3
128,"[0.40103950301734936, 0.5064694948105126, 0.46996327344530214, 0.6301714611844422, 0.43554873288592366, 0.5782026616806777, 0.41268401378353037, 0.7019159166826238]",4
129,"[0.6616252045247792, 0.4355692705345545, 0.46996327344530214, 0.504359527605976, 0.41337358970284444, 0.5519778533553774, 0.4043788097411585, 0.7026861977806527]",4
130,"[0.49039679528809615, 0.44532295419454454, 0.45949699995275517, 0.49470149794715995, 0.6833957032394778, 0.6566538329584874, 0.47170673112571, 0.4601634417274165]",2
131,"[0.547252164267284, 0.49660014904363664, 0.45995448725262744, 0.4433743829830543, 0.6833957032394778, 0.6640217984408832, 0.426679965579285, 0.45401843787116114]",3
132,"[0.5326905269938403, 0.6207849203419524, 0.4603105154453445, 0.4451488699927258, 0.49865603052111335, 0.6640217984408832, 0.43639526016810465, 0.5239161609599396]",4
133,"[0.5317938926054645, 0.4183010843808358, 0.6929484413612242, 0.49647222498260957, 0.4468861232423699, 0.6640217984408832, 0.4440716197487361, 0.4749216854889235]",3
134,"[0.5255827389139276, 0.4183010843808358, 0.6906831346851258, 0.506792307794256, 0.43707213658819744, 0.4951485851448663, 0.5898313917841815, 0.4749216854889235]",4
135,"[0.414192715045042, 0.6198556575458866, 0.6938111195442801, 0.49642866634773825, 0.44377872179145017, 0.46377005092601425, 0.5898313917841815, 0.43404422247098556]",3
136,"[0.6969452474789881, 0.5966951357566633, 0.4020727304692591, 0.500688365494672, 0.43771513868603745, 0.46377005092601425, 0.6123315853319998, 0.4428697476139842]",4
137,"[0.7039722072400774, 0.4113762712757549, 0.6168240749732932, 0.410377855288673, 0.5072967338429465, 0.46639080401096217, 0.5741456531075526, 0.4409033788322411]",4
138,"[0.5981682824478888, 0.42327955737116746, 0.6168240749732932, 0.534255201014923, 0.44401712228448315, 0.5005565001263221, 0.5741456531075526, 0.46193018157509264]",5
139,"[0.5858186962159614, 0.44921123759031134, 0.6169123507188008, 0.7116165848174036, 0.5068374498018321, 0.4557912156014715, 0.3904624409221464, 0.4219006967547549]",4
140,"[0.6070293956545554, 0.3981193257617315, 0.5022285384201336, 0.5064257463827437, 0.4419724247948952, 0.4769002354259729, 0.7086276295802938, 0.4774709327466263]",4
141,"[0.6070293956545554, 0.41702286578668224, 0.5582529014788294, 0.44615215933130387, 0.4976242264170486, 0.6988385460022991, 0.4555970915110751, 0.44754168147003]",3
142,"[0.6633953344979961, 0.45803067769105943, 0.4515302154558294, 0.4556765967904133, 0.490042086642108, 0.6988385460022991, 0.40591673037799175, 0.506725062224775]",3
143,"[0.4531312568274501, 0.4532397083911035, 0.6852148615665294, 0.42008786900984024, 0.43886257240890714, 0.6988385460022991, 0.4970082360719352, 0.506725062224775]",3
144,"[0.4989786111065861, 0.44354707536240545, 0.4487634506542373, 0.4495883553763768, 0.5656797566542006, 0.6801317333092142, 0.4560277272535688, 0.5910839563408606]",3
145,"[0.4963118829051726, 0.6977805735227754, 0.4667645600273071, 0.4534968173269352, 0.5656797566542006, 0.41758254975838727, 0.4560277272535688, 0.5931826519707144]",3
146,"[0.4541384019522242, 0.7060891952588201, 0.5789404974577436, 0.49528590749964796, 0.39777551926022414, 0.46011512102466695, 0.47872086053344426, 0.5884388237941346]",3
147,"[0.49845410564596065, 0.4506119923428446, 0.5879875438927941, 0.45660067751850036, 0.4274063490877103, 0.538648638417081, 0.6610234397773193, 0.5432344273573314]",4
148,"[0.49845410564596065, 0.44873004272362293, 0.3482974613371129, 0.45514010288554785, 0.6548960848499887, 0.6949039896088711, 0.49629542167252116, 0.5668013327337684]",3
149,"[0.49672869206921744, 0.4539136843194042, 0.684864221897854, 0.45514010288554785, 0.4449615447151977, 0.47017072447050745, 0.7092791705672589, 0.4524154984841385]",2
150,"[0.4592261703763021, 0.4767375015833114, 0.6692461076310112, 0.5053117985291441, 0.4600037109089478, 0.4355960227401418, 0.7092791705672589, 0.4475180369349178]",3
151,"[0.44711063091379366, 0.47506722711014804, 0.6692461076310112, 0.507140697947805, 0.45037991368766594, 0.4592130181665147, 0.7085749815369912, 0.4475180369349178]",3
152,"[0.47891701851517193, 0.4265581492262134, 0.5530121099412807, 0.5170194067146314, 0.4758968573521879, 0.4329407353307421, 0.7052107915045602, 0.5667848737256793]",4
153,"[0.42355509533765556, 0.5127786094344983, 0.5503553862188928, 0.42645582329317266, 0.6439505441708833, 0.5733276143975284, 0.5610671384672689, 0.4741380133487382]",5
154,"[0.4943153359893411, 0.5453321462599379, 0.4706460220178602, 0.5522906838149753, 0.655267408162564, 0.40260275239384286, 0.4451592819342119, 0.6079381206777883]",4
155,"[0.4937039777561192, 0.46360176518896534, 0.6081601130085218, 0.5603024370970349, 0.6450646590703563, 0.4039483868051907, 0.5586232598094949, 0.44139586808837245]",4
156,"[0.46329963103167376, 0.47106501655917726, 0.5499510605972068, 0.6087323980715982, 0.6450646590703563, 0.41277149210522635, 0.5812653699977643, 0.44025832155249967]",4
157,"[0.4782716605761349, 0.5215351362749749, 0.5264392683543593, 0.6114973726355327, 0.42478002759315553, 0.695705692644778, 0.4417589718703895, 0.44955603184323334]",4
158,"[0.45215171646431257, 0.6111902560380217, 0.5099343392890965, 0.6150226999340344, 0.430824152959986, 0.6207417162755794, 0.4755378215246256, 0.4412595971959497]",4
159,"[0.4218506332030493, 0.673563084944418, 0.46104985236251855, 0.6159480819893337, 0.5310787184148085, 0.5376874549000836, 0.4327728245191144, 0.47734246629580507]",4
160,"[0.5871011751181908, 0.673563084944418, 0.46910769740911495, 0.5400532249959302, 0.5323730644580482, 0.4333155543119956, 0.43313943090884854, 0.47609193004868955]",4
161,"[0.46177819743146425, 0.4915562247692727, 0.5915172470778168, 0.48919881492687844, 0.4759648833273468, 0.6588648517514529, 0.4404021467790178, 0.5286347235214902]",3
162,"[0.45910344937566777, 0.48278396894939574, 0.7033638063063858, 0.41018314178441434, 0.4759648833273468, 0.6924019881603931, 0.5091010788570561, 0.4384456165248072]",3
